name,cuisine,rating,no_of_reviews,price_range,user_id,description,place_id,about
Parrilla Peña,Argentinian  ,4.50,5688,2,0," Rodriguez Peña 682, BuenosAires
 BuenosAires, Argentina
 Parrilla Peña is a classic Argentinian steakhouse known for its delicious grilled meats and traditional atmosphere.",27.00,"{""Service options"": {""Takeaway"": true, ""Dine-in"": true}, ""Highlights"": {""Fast service"": true}, ""Accessibility"": {""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible seating"": true, ""Wheelchair-accessible car park"": false}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Coffee"": true, ""Quick bite"": true, ""Small plates"": true, ""Wine"": true}, ""Dining options"": {""Brunch"": true, ""Lunch"": true, ""Dinner"": true, ""Dessert"": true, ""Seating"": true}, ""Amenities"": {""Toilets"": true, ""Wi-Fi"": true}, ""Atmosphere"": {""Casual"": true, ""Cosy"": true}, ""Crowd"": {""Groups"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""High chairs"": true}}"
CETRINO RESTAURANT,Argentinian  ,4.20,162,3,0," Esmeralda 654, BuenosAires
 BuenosAires, Argentina
 CETRINO RESTAURANT offers a contemporary dining experience, combining international and Argentinian flavors in its menu.",28.00,"{""Service options"": {""Dine-in"": true}, ""Highlights"": {""Great cocktails"": true}, ""Accessibility"": {""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible seating"": true}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Cocktails"": true, ""Coffee"": true, ""Small plates"": true, ""Spirits"": true, ""Wine"": true}, ""Dining options"": {""Breakfast"": true, ""Brunch"": true, ""Lunch"": true, ""Dinner"": true, ""Dessert"": true}, ""Amenities"": {""Bar on site"": true, ""Toilets"": true}, ""Atmosphere"": {""Casual"": true, ""Cosy"": true}, ""Crowd"": {""Groups"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true}}"
Meraki Food,Venezuelan  ,4.60,1842,2,0," Vicente López 1536, BuenosAires
 BuenosAires, Argentina
 Meraki Food is a trendy spot known for its fusion cuisine, mixing various culinary influences to create unique and flavorful dishes.",29.00,"{""Service options"": {""Kerbside pickup"": true, ""No-contact delivery"": true, ""Delivery"": true, ""Takeaway"": true, ""Dine-in"": true}, ""Accessibility"": {""Wheelchair-accessible seating"": true, ""Wheelchair-accessible car park"": false}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Coffee"": true, ""Vegetarian options"": true, ""Wine"": true}, ""Dining options"": {""Lunch"": true, ""Dinner"": true, ""Counter service"": true, ""Dessert"": true, ""Seating"": true}, ""Amenities"": {""Toilets"": true, ""Wi-Fi"": true}, ""Atmosphere"": {""Casual"": true, ""Cosy"": true}, ""Crowd"": {""Family friendly"": true, ""Groups"": true}, ""Payments"": {""Debit cards"": true}, ""Children"": {""Good for kids"": true, ""High chairs"": true}}"
La Brasserie Blackmamba,French  ,,,0,0," Av. Alicia Moreau de Justo 176, BuenosAires
 BuenosAires, Argentina
 La Brasserie Blackmamba offers a sophisticated dining experience and features a diverse menu with international and Argentinian options.",30.00,"{""Service options"": {""Dine-in"": true}}"
El Imparcial,Mediterranean  ,4.30,4605,2,0," Calle Gascon 1040, BuenosAires
 BuenosAires, Argentina
 El Imparcial is a traditional Argentinian parrilla with a history dating back to 1860, making it one of the city's culinary landmarks.",31.00,"{""Service options"": {""No-contact delivery"": true, ""Delivery"": true, ""Takeaway"": true, ""Dine-in"": true}, ""Accessibility"": {""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible seating"": true, ""Wheelchair-accessible toilet"": true}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Coffee"": true, ""Late-night food"": true, ""Small plates"": true, ""Spirits"": true, ""Vegetarian options"": true, ""Wine"": true}, ""Dining options"": {""Brunch"": true, ""Lunch"": true, ""Dinner"": true, ""Dessert"": true, ""Seating"": true}, ""Amenities"": {""Toilets"": true}, ""Atmosphere"": {""Casual"": true, ""Cosy"": true}, ""Crowd"": {""Family friendly"": true, ""Groups"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""Good for kids"": true, ""High chairs"": true, ""Kids' menu"": true}}"
Cucina De Santo,Italian  ,4.70,345,0,0," Av. Alicia Moreau de Justo 1190, BuenosAires
 BuenosAires, Argentina
 Cucina De Santo is known for its Italian cuisine and features a modern and elegant setting with waterfront views.",32.00,"{""Service options"": {""Takeaway"": true, ""Dine-in"": true}, ""Accessibility"": {""Wheelchair-accessible car park"": false, ""Wheelchair-accessible entrance"": false}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Coffee"": true, ""Small plates"": true, ""Wine"": true}, ""Dining options"": {""Lunch"": true, ""Dinner"": true, ""Dessert"": true}, ""Amenities"": {""Toilets"": true}, ""Atmosphere"": {""Casual"": true, ""Cosy"": true}, ""Crowd"": {""Groups"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}}"
Liliana Helueni,Middle Eastern  ,4.50,327,2,0," Calle Arenales 3841, BuenosAires
 BuenosAires, Argentina
 Liliana Helueni is a charming restaurant offering a taste of Mediterranean and Argentinian cuisine, often accompanied by live music.",33.00,"{""From the business"": {""Identifies as women-owned"": true}, ""Service options"": {""No-contact delivery"": true, ""Delivery"": true, ""Takeaway"": true, ""Dine-in"": true}, ""Accessibility"": {""Wheelchair-accessible entrance"": true}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Coffee"": true, ""Halal food"": true, ""Salad bar"": true, ""Small plates"": true, ""Vegetarian options"": true, ""Wine"": true}, ""Dining options"": {""Lunch"": true, ""Dinner"": true, ""Catering"": true, ""Dessert"": true, ""Seating"": true}, ""Amenities"": {""Toilets"": true, ""Wi-Fi"": true}, ""Atmosphere"": {""Casual"": true, ""Cosy"": true}, ""Crowd"": {""Groups"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""Good for kids"": true}, ""Other"": {""Identifies as women-owned"": true}}"
Coya,Peruvian  ,3.90,526,2,0," Av. Alicia Moreau de Justo 134, BuenosAires
 BuenosAires, Argentina
 Coya is a fine dining restaurant with a focus on Peruvian cuisine, known for its fusion of flavors and stunning riverside location.",34.00,"{""Service options"": {""Delivery"": true, ""Takeaway"": true, ""Dine-in"": true}, ""Accessibility"": {""Wheelchair-accessible car park"": false, ""Wheelchair-accessible entrance"": false}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Cocktails"": true, ""Late-night food"": true, ""Small plates"": true, ""Wine"": true}, ""Dining options"": {""Brunch"": true, ""Lunch"": true, ""Dinner"": true, ""Dessert"": true, ""Seating"": true}, ""Amenities"": {""Bar on site"": true, ""Toilets"": true}, ""Atmosphere"": {""Casual"": true, ""Cosy"": true}, ""Crowd"": {""Groups"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Debit cards"": true, ""NFC mobile payments"": true, ""Credit cards"": true}, ""Children"": {""Good for kids"": true, ""High chairs"": true, ""Kids' menu"": true}}"
Tucson,American  ,4.40,4247,3,0," Humboldt 1868, BuenosAires
 BuenosAires, Argentina
 Tucson is a popular restaurant known for its American-style barbecue and smoked meats, offering a taste of the Southern United States in Argentina.",35.00,"{""Service options"": {""Kerbside pickup"": true, ""Delivery"": true, ""Takeaway"": true, ""Dine-in"": true}, ""Accessibility"": {""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible seating"": true, ""Wheelchair-accessible toilet"": true}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Cocktails"": true, ""Coffee"": true, ""Late-night food"": true, ""Small plates"": true, ""Spirits"": true, ""Wine"": true}, ""Dining options"": {""Breakfast"": true, ""Brunch"": true, ""Lunch"": true, ""Dinner"": true, ""Dessert"": true, ""Seating"": true}, ""Amenities"": {""Bar on site"": true, ""Toilets"": true}, ""Atmosphere"": {""Casual"": true, ""Cosy"": true}, ""Crowd"": {""Groups"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""High chairs"": true}}"
La Estancia Asador Criollo,Steak house,4.40,8834,2,0," Rincón 666, BuenosAires
 BuenosAires, Argentina
 La Estancia Asador Criollo is an authentic Argentine parrilla (steakhouse) where you can savor delicious grilled meats in a rustic and traditional setting.",36.00,"{""Service options"": {""No-contact delivery"": true, ""Delivery"": true, ""Takeaway"": true, ""Dine-in"": true}, ""Highlights"": {""Fireplace"": true, ""Great cocktails"": true}, ""Accessibility"": {""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible lift"": true, ""Wheelchair-accessible seating"": true, ""Wheelchair-accessible toilet"": true}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Cocktails"": true, ""Coffee"": true, ""Healthy options"": true, ""Late-night food"": true, ""Organic dishes"": true, ""Quick bite"": true, ""Small plates"": true, ""Spirits"": true, ""Vegetarian options"": true, ""Wine"": true}, ""Dining options"": {""Brunch"": true, ""Lunch"": true, ""Dinner"": true, ""Dessert"": true, ""Seating"": true}, ""Amenities"": {""Toilets"": true}, ""Atmosphere"": {""Casual"": true, ""Cosy"": true}, ""Crowd"": {""Groups"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""Good for kids"": true, ""High chairs"": true, ""Kids' menu"": true}}"
Petit Colón,Argentinian  ,4.40,6488,3,0," Talcahuano 600, BuenosAires
 BuenosAires, Argentina
 Petit Colón is located near the famous Teatro Colón and offers a classic Argentinian dining experience with a touch of elegance.",37.00,"{""Service options"": {""Outdoor seating"": true, ""No-contact delivery"": true, ""Takeaway"": true, ""Dine-in"": true}, ""Highlights"": {""Great cocktails"": true}, ""Accessibility"": {""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible lift"": true, ""Wheelchair-accessible seating"": true, ""Wheelchair-accessible toilet"": true}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Cocktails"": true, ""Coffee"": true, ""Healthy options"": true, ""Quick bite"": true, ""Salad bar"": true, ""Small plates"": true, ""Spirits"": true, ""Wine"": true}, ""Dining options"": {""Breakfast"": true, ""Brunch"": true, ""Lunch"": true, ""Dinner"": true, ""Dessert"": true, ""Seating"": true}, ""Amenities"": {""Bar on site"": true, ""Toilets"": true, ""Wi-Fi"": true}, ""Atmosphere"": {""Casual"": true, ""Cosy"": true}, ""Crowd"": {""Groups"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Cheques"": true, ""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}}"
Museo del Jamón,Spanish  ,4.30,4875,3,0," Av. Rivadavia 1400, BuenosAires
 BuenosAires, Argentina
 Museo del Jamón is a restaurant and museum dedicated to all things ham, offering a unique and meat-focused dining experience.",38.00,"{""Service options"": {""No-contact delivery"": true, ""Delivery"": true, ""Takeaway"": true, ""Dine-in"": true}, ""Accessibility"": {""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible seating"": true, ""Wheelchair-accessible toilet"": true}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Cocktails"": true, ""Coffee"": true, ""Late-night food"": true, ""Salad bar"": true, ""Small plates"": true, ""Spirits"": true, ""Wine"": true}, ""Dining options"": {""Brunch"": true, ""Lunch"": true, ""Dinner"": true, ""Dessert"": true, ""Seating"": true}, ""Amenities"": {""Toilets"": true, ""Wi-Fi"": true}, ""Atmosphere"": {""Casual"": true, ""Cosy"": true}, ""Crowd"": {""Groups"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Cheques"": true, ""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""High chairs"": true}}"
Di Luca Steak House,Argentinian  ,3.70,171,2,0," Reconquista 101, BuenosAires
 BuenosAires, Argentina
 Di Luca Steak House is a well-known steakhouse that serves premium Argentinian beef and offers a cozy and welcoming atmosphere.",39.00,"{""Service options"": {""Outdoor seating"": true, ""No-contact delivery"": true, ""Delivery"": true, ""Takeaway"": true, ""Dine-in"": true}, ""Highlights"": {""Great cocktails"": true}, ""Accessibility"": {""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible seating"": true}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Cocktails"": true, ""Coffee"": true, ""Late-night food"": true, ""Small plates"": true, ""Wine"": true}, ""Dining options"": {""Breakfast"": true, ""Brunch"": true, ""Lunch"": true, ""Dinner"": true, ""Dessert"": true, ""Seating"": true}, ""Amenities"": {""Bar on site"": true, ""Toilets"": true}, ""Atmosphere"": {""Casual"": true, ""Cosy"": true}, ""Crowd"": {""Groups"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true}, ""Children"": {""Good for kids"": true}}"
Palmyra,Middle Eastern  ,4.60,165,3,0," Avenida Armenia 1353, BuenosAires
 BuenosAires, Argentina
 Palmyra is a Middle Eastern restaurant known for its delicious Lebanese cuisine and cozy ambiance, providing a taste of the Levant in Argentina.",40.00,"{""Service options"": {""No-contact delivery"": true, ""Delivery"": true, ""Takeaway"": true, ""Dine-in"": true}, ""Dining options"": {""Lunch"": true, ""Dinner"": true}, ""Amenities"": {""Toilets"": true}, ""Atmosphere"": {""Casual"": true, ""Cosy"": true}, ""Crowd"": {""Groups"": true}, ""Payments"": {""Debit cards"": true, ""NFC mobile payments"": true, ""Credit cards"": true}}"
Puny,Italian  ,4.90,2566,2,0," Cerrito 1275, BuenosAires
 BuenosAires, Argentina
 Puny is a contemporary restaurant that combines Argentinian and international flavors, serving a diverse menu in a modern setting.",41.00,"{""Service options"": {""Delivery"": true, ""Takeaway"": true, ""Dine-in"": true}, ""Highlights"": {""Great cocktails"": true}, ""Accessibility"": {""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible seating"": true}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Cocktails"": true, ""Coffee"": true, ""Late-night food"": true, ""Small plates"": true, ""Wine"": true}, ""Dining options"": {""Lunch"": true, ""Dinner"": true, ""Dessert"": true, ""Seating"": true}, ""Amenities"": {""Bar on site"": true, ""Toilets"": true}, ""Atmosphere"": {""Casual"": true, ""Cosy"": true}, ""Crowd"": {""Groups"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""High chairs"": true}}"
The New Brighton,Argentinian  ,4.60,1857,3,0," Tucumán 1238, BuenosAires
 BuenosAires, Argentina
 The New Brighton is an English-style pub and restaurant, offering a taste of British cuisine and a cozy, pub-like atmosphere.",42.00,"{""Service options"": {""Dine-in"": true}, ""Highlights"": {""Live music"": true}, ""Accessibility"": {""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible seating"": true, ""Wheelchair-accessible car park"": false}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Cocktails"": true, ""Coffee"": true, ""Small plates"": true, ""Spirits"": true, ""Wine"": true}, ""Dining options"": {""Breakfast"": true, ""Brunch"": true, ""Lunch"": true, ""Dinner"": true, ""Dessert"": true, ""Seating"": true}, ""Amenities"": {""Bar on site"": true, ""Toilets"": true}, ""Atmosphere"": {""Cosy"": true}, ""Crowd"": {""Groups"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""High chairs"": true}}"
Un Cuenco Chino,Chinese  ,4.30,198,2,0,"ddress: Carlos Calvo 332, BuenosAires
 BuenosAires, Argentina
 Un Cuenco Chino is a popular Chinese restaurant, known for its authentic Chinese dishes and a vibrant and bustling atmosphere",43.00,"{""Service options"": {""Delivery"": true, ""Takeaway"": true, ""Dine-in"": true}, ""Accessibility"": {""Wheelchair-accessible car park"": false}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Small plates"": true, ""Wine"": true}, ""Dining options"": {""Lunch"": true, ""Dinner"": true, ""Dessert"": true}, ""Amenities"": {""Toilets"": true}, ""Atmosphere"": {""Casual"": true, ""Cosy"": true}, ""Crowd"": {""Groups"": true}, ""Planning"": {""Accepts reservations"": true}, ""Children"": {""Good for kids"": true}}"
Exedra,Cafe,4.10,4273,2,0," Reconquista 738, BuenosAires
 BuenosAires, Argentina
 Exedra is a restaurant and bar offering a modern dining experience and an extensive cocktail menu in the heart of BuenosAires.",44.00,"{""Service options"": {""Outdoor seating"": true, ""Takeaway"": true, ""Dine-in"": true}, ""Highlights"": {""Fast service"": true, ""Great cocktails"": true}, ""Accessibility"": {""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible seating"": true, ""Wheelchair-accessible toilet"": true}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Cocktails"": true, ""Coffee"": true, ""Late-night food"": true, ""Small plates"": true, ""Spirits"": true, ""Wine"": true}, ""Dining options"": {""Breakfast"": true, ""Brunch"": true, ""Lunch"": true, ""Dinner"": true, ""Dessert"": true, ""Seating"": true}, ""Amenities"": {""Bar on site"": true, ""Toilets"": true}, ""Atmosphere"": {""Casual"": true, ""Cosy"": true}, ""Crowd"": {""Groups"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""High chairs"": true}}"
Norte,Argentinian  ,4.40,2905,0,0,"Suipacha 1036, BuenosAires, Argentina - A restaurant offering a mix of Argentine and Mediterranean cuisine in an elegant and historic building.",45.00,"{""Service options"": {""No-contact delivery"": true, ""Delivery"": true, ""Takeaway"": true, ""Dine-in"": true}, ""Highlights"": {""Fast service"": true}, ""Accessibility"": {""Wheelchair-accessible car park"": false, ""Wheelchair-accessible seating"": false, ""Wheelchair-accessible toilet"": false}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Coffee"": true, ""Healthy options"": true, ""Late-night food"": true, ""Quick bite"": true, ""Small plates"": true, ""Vegetarian options"": true, ""Wine"": true}, ""Dining options"": {""Breakfast"": true, ""Brunch"": true, ""Lunch"": true, ""Dinner"": true, ""Dessert"": true, ""Seating"": true}, ""Amenities"": {""Toilets"": true}, ""Atmosphere"": {""Casual"": true, ""Cosy"": true}, ""Crowd"": {""Groups"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""High chairs"": true}}"
Chiquilin,Steak house,4.30,5734,3,0,"Montevideo 313, BuenosAires, Argentina - A charming traditional Argentine cafe known for its excellent coffee and pastries.",46.00,"{""Service options"": {""Kerbside pickup"": true, ""No-contact delivery"": true, ""Delivery"": true, ""Takeaway"": true, ""Dine-in"": true}, ""Accessibility"": {""Wheelchair-accessible car park"": true, ""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible seating"": true, ""Wheelchair-accessible toilet"": true}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Braille menu"": true, ""Cocktails"": true, ""Coffee"": true, ""Late-night food"": true, ""Salad bar"": true, ""Small plates"": true, ""Spirits"": true, ""Vegetarian options"": true, ""Wine"": true}, ""Dining options"": {""Breakfast"": true, ""Brunch"": true, ""Lunch"": true, ""Dinner"": true, ""Dessert"": true, ""Seating"": true}, ""Amenities"": {""Toilets"": true, ""Wi-Fi"": true}, ""Atmosphere"": {""Casual"": true, ""Cosy"": true}, ""Crowd"": {""Family friendly"": true, ""Groups"": true, ""LGBTQ+ friendly"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""Good for kids"": true, ""High chairs"": true, ""Kids' menu"": true}, ""Other"": {""LGBTQ+ friendly"": true}}"
Restaurante Rawa,Peruvian  ,4.10,1216,2,0,"Av. Cerviño 4602, BuenosAires, Argentina - A contemporary restaurant with a focus on seafood and international cuisine, offering a fresh and modern dining experience.",47.00,"{""Service options"": {""Delivery"": true, ""Takeaway"": true, ""Dine-in"": true}, ""Accessibility"": {""Wheelchair-accessible car park"": false, ""Wheelchair-accessible toilet"": false}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Coffee"": true, ""Small plates"": true, ""Spirits"": true, ""Wine"": true}, ""Dining options"": {""Brunch"": true, ""Lunch"": true, ""Dinner"": true, ""Dessert"": true}, ""Amenities"": {""Toilets"": true}, ""Atmosphere"": {""Casual"": true, ""Cosy"": true}, ""Crowd"": {""Groups"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true}}"
Saint Burger,Hamburger  ,4.30,4433,2,0," Avenida Córdoba 1658, BuenosAires
 BuenosAires, Argentina
 Saint Burger is a popular burger joint known for its gourmet burgers and creative flavor combinations.",48.00,"{""Service options"": {""Outdoor seating"": true, ""No-contact delivery"": true, ""Delivery"": true, ""Takeaway"": true, ""Dine-in"": true}, ""Highlights"": {""Fast service"": true}, ""Accessibility"": {""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible seating"": true, ""Wheelchair-accessible car park"": false}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Cocktails"": true, ""Happy-hour drinks"": true, ""Late-night food"": true, ""Small plates"": true, ""Spirits"": true}, ""Dining options"": {""Brunch"": true, ""Lunch"": true, ""Dinner"": true, ""Dessert"": true, ""Seating"": true}, ""Amenities"": {""Bar on site"": true, ""Toilets"": true}, ""Atmosphere"": {""Casual"": true, ""Cosy"": true}, ""Crowd"": {""Groups"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""High chairs"": true}}"
Viva! Gourmet,Gourmet  ,4.40,14,0,0,"Av. Santa Fe 3253, BuenosAires, Argentina - Viva! Gourmet offers an array of gourmet dishes and a pleasant dining environment.",49.00,"{""Service options"": {""Takeaway"": true, ""Dine-in"": true}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Coffee"": true, ""Wine"": true}, ""Dining options"": {""Lunch"": true, ""Dessert"": true}, ""Amenities"": {""Bar on site"": true, ""Toilets"": true}, ""Atmosphere"": {""Casual"": true, ""Cosy"": true}, ""Crowd"": {""Groups"": true}}"
Green Eat,Cafe,4.10,3192,2,0,Green Eat is a recognized restaurant in BuenosAires known for its fresh and healthy dining options.,50.00,"{""Service options"": {""No-contact delivery"": true, ""Delivery"": true, ""Takeaway"": true, ""Dine-in"": true}, ""Accessibility"": {""Wheelchair-accessible car park"": false, ""Wheelchair-accessible seating"": false}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Coffee"": true, ""Organic dishes"": true, ""Vegan options"": true, ""Vegetarian options"": true}, ""Dining options"": {""Breakfast"": true, ""Brunch"": true, ""Lunch"": true, ""Dessert"": true, ""Seating"": true}, ""Amenities"": {""Toilets"": true}, ""Atmosphere"": {""Casual"": true, ""Cosy"": true}, ""Crowd"": {""Groups"": true}, ""Planning"": {""Accepts reservations"": false}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""High chairs"": true}}"
Restaurant City Hotel NH,Mediterranean  ,4.80,4,3,0,"Restaurant City Hotel NH, situated in BuenosAires, offers international and local cuisine in a welcoming atmosphere.",51.00,"{""Service options"": {""Takeaway"": true, ""Dine-in"": true}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Coffee"": true, ""Wine"": true}, ""Dining options"": {""Breakfast"": true, ""Lunch"": true, ""Dinner"": true, ""Dessert"": true}, ""Amenities"": {""Bar on site"": true, ""Toilets"": true}, ""Atmosphere"": {""Casual"": true, ""Cosy"": true}, ""Crowd"": {""Groups"": true}}"
Brasileirinho,Brazilian  ,4.20,470,0,0,"Brasileirinho, a restaurant in BuenosAires, serves authentic Brazilian dishes, allowing you to savor the flavors of Brazil.",52.00,"{""Service options"": {""Outdoor seating"": true, ""Kerbside pickup"": true, ""No-contact delivery"": true, ""Delivery"": true, ""Takeaway"": true, ""Dine-in"": true}, ""Accessibility"": {""Wheelchair-accessible entrance"": true}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Cocktails"": true, ""Coffee"": true, ""Salad bar"": true, ""Small plates"": true, ""Spirits"": true, ""Vegan options"": true, ""Vegetarian options"": true, ""Wine"": true}, ""Dining options"": {""Lunch"": true, ""Dinner"": true, ""Catering"": true, ""Counter service"": true, ""Dessert"": true, ""Seating"": true}, ""Amenities"": {""Gender-neutral toilets"": true, ""Toilets"": true, ""Wi-Fi"": true}, ""Atmosphere"": {""Casual"": true, ""Cosy"": true}, ""Crowd"": {""Family friendly"": true, ""Groups"": true, ""LGBTQ+ friendly"": true, ""Transgender safe space"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Debit cards"": true, ""Credit cards"": true}, ""Children"": {""Good for kids"": true, ""Kids' menu"": true}, ""Other"": {""LGBTQ+ friendly"": true}}"
In & Out Sushi,Japanese  ,4.60,1002,2,0,"In & Out Sushi is a popular sushi spot in BuenosAires, providing a diverse selection of sushi and Japanese cuisine.",53.00,"{""Service options"": {""Delivery"": true, ""Takeaway"": true, ""Dine-in"": true}, ""Accessibility"": {""Wheelchair-accessible car park"": false, ""Wheelchair-accessible entrance"": false, ""Wheelchair-accessible seating"": false}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Late-night food"": true, ""Small plates"": true}, ""Dining options"": {""Lunch"": true, ""Dinner"": true, ""Seating"": true}, ""Amenities"": {""Toilets"": true}, ""Atmosphere"": {""Casual"": true, ""Cosy"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true}, ""Children"": {""High chairs"": true}}"
Suipacha 772,Sandwich  ,4.00,31,0,0,"Suipacha 772, though not providing a specific address, is a well-known dining spot in BuenosAires.",54.00,"{""Service options"": {""Takeaway"": true, ""Dine-in"": true}, ""Offerings"": {""Alcohol"": true, ""Beer"": true}, ""Dining options"": {""Lunch"": true}, ""Amenities"": {""Toilets"": true}, ""Atmosphere"": {""Casual"": true, ""Cosy"": true}}"
Valientes Restaurante,Italian  ,4.30,245,0,0,"Valientes Restaurante is a recognized restaurant in BuenosAires, known for its delicious culinary offerings.",55.00,"{""Service options"": {""No-contact delivery"": true, ""Delivery"": true, ""Takeaway"": true, ""Dine-in"": true}, ""Accessibility"": {""Wheelchair-accessible seating"": true}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Coffee"": true, ""Wine"": true}, ""Dining options"": {""Breakfast"": true, ""Brunch"": true, ""Lunch"": true, ""Dessert"": true}, ""Amenities"": {""Bar on site"": true, ""Toilets"": true}, ""Atmosphere"": {""Casual"": true, ""Cosy"": true}, ""Crowd"": {""Groups"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true}, ""Children"": {""Good for kids"": true}}"
Restaurant at NH Tango,International,3.80,8,0,0,Restaurant at NH Tango in BuenosAires offers a blend of international and Argentine cuisine in a stylish setting.,56.00,"{""Service options"": {""Takeaway"": true, ""Dine-in"": true}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Wine"": true}, ""Dining options"": {""Lunch"": true, ""Dessert"": true}, ""Amenities"": {""Toilets"": true}, ""Atmosphere"": {""Casual"": true, ""Cosy"": true}, ""Crowd"": {""Groups"": true}}"
